weekday,hour,predicted_people
Sunday,9,2
Sunday,10,10
Sunday,11,5
Sunday,12,2
Sunday,13,11
Sunday,14,11
Sunday,15,10
Sunday,16,3
Sunday,17,1
Sunday,18,11
Sunday,19,11
Sunday,20,10
Sunday,21,8
Monday,9,11
Monday,10,3
Monday,11,3
Monday,12,8
Monday,13,10
Monday,14,10
Monday,15,10
Monday,16,2
Monday,17,2
Monday,18,10
Monday,19,10
Monday,20,9
Monday,21,9
Tuesday,9,9
Tuesday,10,8
Tuesday,11,9
Tuesday,12,10
Tuesday,13,10
Tuesday,14,10
Tuesday,15,10
Tuesday,16,9
Tuesday,17,5
Tuesday,18,10
Tuesday,19,10
Tuesday,20,10
Tuesday,21,10
Wednesday,9,5
Wednesday,10,2
Wednesday,11,7
Wednesday,12,4
Wednesday,13,10
Wednesday,14,10
Wednesday,15,3
Wednesday,16,4
Wednesday,17,11
Wednesday,18,11
Wednesday,19,11
Wednesday,20,11
Wednesday,21,11
Thursday,9,12
Thursday,10,6
Thursday,11,9
Thursday,12,6
Thursday,13,11
Thursday,14,11
Thursday,15,11
Thursday,16,8
Thursday,17,3
Thursday,18,11
Thursday,19,11
Thursday,20,10
Thursday,21,10
Friday,9,9
Friday,10,4
Friday,11,11
Friday,12,2
Friday,13,10
Friday,14,10
Friday,15,6
Friday,16,9
Friday,17,1
Friday,18,11
Friday,19,11
Friday,20,11
Friday,21,11
Saturday,9,10
Saturday,10,8
Saturday,11,10
Saturday,12,5
Saturday,13,9
Saturday,14,9
Saturday,15,11
Saturday,16,10
Saturday,17,11
Saturday,18,9
Saturday,19,9
Saturday,20,8
Saturday,21,8
